round,beta,J_values,theat,emprical,False Negative,False Positive,pairty,emprical_total,False Negative_total,False Positive_total
1,   0.59928,8106, -85.50000,   0.31813,   0.22449,   0.09364,-1,   0.28892,   0.11405,   0.17487
2,   0.57448,10264, -37.50000,   0.38735,   0.25690,   0.13045,-1,   0.44818,   0.36054,   0.08764
3,   2.00392,7972, 139.50000,   0.29972,   0.11244,   0.18727,1,   0.26731,   0.07683,   0.19048
4,   2.00000,7972, 139.50000,   0.29972,   0.11244,   0.18727,1,   0.29972,   0.11244,   0.18727
5,   2.00000,7972, 139.50000,   0.29972,   0.11244,   0.18727,1,   0.29972,   0.11244,   0.18727
6,   2.00000,7972, 139.50000,   0.29972,   0.11244,   0.18727,1,   0.29972,   0.11244,   0.18727
7,   2.00000,7972, 139.50000,   0.29972,   0.11244,   0.18727,1,   0.29972,   0.11244,   0.18727
8,   2.00000,7972, 139.50000,   0.29972,   0.11244,   0.18727,1,   0.29972,   0.11244,   0.18727
9,   2.00000,7972, 139.50000,   0.29972,   0.11244,   0.18727,1,   0.29972,   0.11244,   0.18727
10,   2.00000,7972, 139.50000,   0.29972,   0.11244,   0.18727,1,   0.29972,   0.11244,   0.18727
