round,beta,J_values,theat,emprical,False Negative,False Positive,pairty,emprical_total,False Negative_total,False Positive_total
1,   0.59928,8106, -85.50000,   0.31813,   0.09364,   0.22449,-1,   0.28892,   0.17487,   0.11405
2,   0.70438,7960, -27.00000,   0.42337,   0.08163,   0.34174,-1,   0.28892,   0.17487,   0.11405
3,   0.65986,7959, -18.50000,   0.44498,   0.07923,   0.36575,-1,   0.39696,   0.16807,   0.22889
4,   0.71276,1530, 248.50000,   0.47419,   0.06283,   0.41136,-1,   0.40696,   0.16006,   0.24690
5,   0.73844,7958, -16.50000,   0.47539,   0.09124,   0.38415,-1,   0.59384,   0.12005,   0.47379
6,   0.73426,8108, -63.50000,   0.35414,   0.13045,   0.22369,-1,   0.39176,   0.14926,   0.24250
7,   1.35940,19010, 226.50000,   0.35854,   0.17887,   0.17967,1,   0.42817,   0.15446,   0.27371
8,   0.70830,7924, -48.50000,   0.42497,   0.08964,   0.33533,-1,   0.39176,   0.16487,   0.22689
9,   0.72756,7955,-118.50000,   0.34494,   0.11805,   0.22689,-1,   0.38095,   0.16847,   0.21248
10,   0.72203,7942, -22.50000,   0.44458,   0.08523,   0.35934,-1,   0.35294,   0.18327,   0.16967
