round,beta,J_values,theat,emprical,False Negative,False Positive,pairty,emprical_total,False Negative_total,False Positive_total
1,   0.59928,8106, -85.50000,   0.31813,   0.09364,   0.22449,-1,   0.28892,   0.17487,   0.11405
2,   0.70438,7960, -27.00000,   0.42337,   0.08163,   0.34174,-1,   0.28892,   0.17487,   0.11405
3,   0.65986,7959, -18.50000,   0.44498,   0.07923,   0.36575,-1,   0.39696,   0.16807,   0.22889
4,   0.71276,1530, 248.50000,   0.47419,   0.06283,   0.41136,-1,   0.40696,   0.16006,   0.24690
5,   0.73844,7958, -16.50000,   0.47539,   0.09124,   0.38415,-1,   0.59384,   0.12005,   0.47379
6,   0.73426,8108, -63.50000,   0.35414,   0.13045,   0.22369,-1,   0.39176,   0.14926,   0.24250
7,   1.35940,19010, 226.50000,   0.35854,   0.17887,   0.17967,1,   0.42817,   0.15446,   0.27371
8,   0.70830,7924, -48.50000,   0.42497,   0.08964,   0.33533,-1,   0.39176,   0.16487,   0.22689
9,   0.72756,7955,-118.50000,   0.34494,   0.11805,   0.22689,-1,   0.38095,   0.16847,   0.21248
10,   0.72203,7942, -22.50000,   0.44458,   0.08523,   0.35934,-1,   0.35294,   0.18327,   0.16967
11,   0.72296,7906, -25.50000,   0.43297,   0.09044,   0.34254,-1,   0.42097,   0.17007,   0.25090
12,   0.74944,19864,-203.50000,   0.27811,   0.12045,   0.15766,-1,   0.33894,   0.18407,   0.15486
13,   1.35985,8207,  56.50000,   0.45218,   0.14726,   0.30492,1,   0.35534,   0.18047,   0.17487
14,   0.75609,7957, -16.50000,   0.44098,   0.09364,   0.34734,-1,   0.34574,   0.18607,   0.15966
15,   0.75948,23336,-156.50000,   0.37495,   0.10884,   0.26611,-1,   0.35454,   0.18407,   0.17047
16,   1.33442,7834,  94.50000,   0.39336,   0.16126,   0.23209,1,   0.31773,   0.18848,   0.12925
17,   0.74523,22296,-160.50000,   0.33573,   0.12205,   0.21369,-1,   0.31132,   0.18848,   0.12285
18,   0.72531,8262, -35.50000,   0.40696,   0.09444,   0.31253,-1,   0.30092,   0.19048,   0.11044
19,   0.73395,7929, -10.50000,   0.45298,   0.08924,   0.36375,-1,   0.32173,   0.18928,   0.13245
20,   0.75295,12028,  -1.50000,   0.46619,   0.08363,   0.38255,-1,   0.31613,   0.19408,   0.12205
21,   1.30980,8216,  72.50000,   0.41937,   0.15446,   0.26491,1,   0.31933,   0.19488,   0.12445
22,   0.72297,17168,-262.50000,   0.30412,   0.14326,   0.16086,-1,   0.29212,   0.19528,   0.09684
23,   0.73346,11962,  16.50000,   0.48739,   0.07443,   0.41297,-1,   0.30092,   0.19448,   0.10644
24,   1.32554,22523,  91.50000,   0.46259,   0.14126,   0.32133,1,   0.29132,   0.19608,   0.09524
25,   0.72429,15261,-172.50000,   0.32693,   0.13365,   0.19328,-1,   0.27931,   0.19728,   0.08203
26,   1.33040,19054, 114.50000,   0.42697,   0.14486,   0.28211,1,   0.26771,   0.19728,   0.07043
27,   0.75177,9979,-200.50000,   0.28251,   0.14206,   0.14046,-1,   0.25850,   0.19768,   0.06082
28,   1.34249,19409, 111.50000,   0.42217,   0.15166,   0.27051,1,   0.25130,   0.19768,   0.05362
29,   0.76275,7917, -61.50000,   0.41337,   0.09444,   0.31893,-1,   0.25570,   0.19808,   0.05762
30,   0.75509,8049, -41.50000,   0.40656,   0.10164,   0.30492,-1,   0.25170,   0.19808,   0.05362
31,   0.74912,8700, -30.50000,   0.47979,   0.08043,   0.39936,-1,   0.25170,   0.19848,   0.05322
32,   0.76147,7844, -25.50000,   0.44298,   0.09124,   0.35174,-1,   0.25250,   0.19808,   0.05442
33,   0.76158,7862, -54.50000,   0.44258,   0.09684,   0.34574,-1,   0.25170,   0.19808,   0.05362
34,   0.75500,11984, -42.50000,   0.45898,   0.10044,   0.35854,-1,   0.24370,   0.19808,   0.04562
35,   0.76079,7923, -29.50000,   0.42497,   0.08563,   0.33934,-1,   0.25370,   0.19848,   0.05522
36,   1.32046,8235,  24.50000,   0.47739,   0.13405,   0.34334,1,   0.25210,   0.19848,   0.05362
37,   0.74546,15441,-174.50000,   0.33053,   0.12605,   0.20448,-1,   0.25010,   0.19928,   0.05082
38,   1.33041,8208,   2.50000,   0.49620,   0.12685,   0.36935,1,   0.24570,   0.19928,   0.04642
39,   0.76090,8715, -51.50000,   0.36775,   0.11124,   0.25650,-1,   0.24410,   0.19928,   0.04482
40,   1.31728,7832,  92.50000,   0.40136,   0.16447,   0.23689,1,   0.23649,   0.19928,   0.03721
